PAYS	BLOC	PNB	TMI	ESP	URB	NAT	MOR	FEC	JEU	VIE	SUP	POP	X	Y
ALB	Soc	600	43	71	34	27	6	3.3	35	5	29	3.1	1445	684
AUT	Cap	10000	10.3	75	55	12	12	1.4	18	14	84	7.6	1121	1031
BEL	Cap	9200	9.7	75	95	12	11	1.5	19	14	31	9.9	734	1187
BUL	Soc	2000	14.5	72	65	13	11	2	21	11	111	9	1649	839
DAN	Cap	12600	8.4	75	84	11	11	1.5	18	15	43	5.1	887	1500
ESP	Cap	4800	9	76	91	12	8	1.7	23	12	505	39	358	582
FIN	Cap	12200	5.8	74	62	12	10	1.6	19	13	337	4.9	1299	2103
FRA	Cap	10100	8	75	73	14	10	1.8	21	13	551	55.9	646	941
GRE	Cap	3700	12.3	74	58	11	9	1.7	21	13	132	10.1	1453	593
HON	Soc	2000	19	70	58	12	14	1.8	21	13	93	10.6	1341	1042
IRL	Cap	5100	8.7	73	56	17	10	2.4	29	11	70	3.5	275	1373
ITA	Cap	8600	10.1	75	72	10	10	1.4	19	13	301	57.3	1076	773
NOR	Cap	15500	8.5	76	71	13	11	1.7	19	16	324	4.2	939	1995
PAY	Cap	10000	7.7	76	89	13	9	1.6	19	12	34	14.7	769	1286
POL	Soc	2100	17.5	71	61	17	10	2.2	26	9	313	38	1279	1339
POR	Cap	2200	15.8	73	30	12	9	1.7	23	12	92	10.3	147	567
RDA	Soc	3700	9.2	72	77	13	13	1.7	19	14	108	16.6	1023	1302
RFA	Cap	12000	8.6	75	94	10	11	1.4	15	15	248	61.2	918	1188
ROU	Soc	1200	25.6	70	49	16	11	2.3	25	9	238	23	1587	1017
ROY	Cap	8900	9.5	75	91	13	12	1.8	19	15	245	57.1	336	1452
SUE	Cap	13200	5.9	77	83	12	11	1.8	18	18	450	8.4	1061	1931
SUI	Cap	17800	6.8	77	61	12	9	1.5	17	14	41	6.6	882	956
TCH	Soc	3200	13.9	71	74	14	12	2	24	11	128	15.6	1219	1157
YOU	Soc	2300	27.1	70	47	15	8	2.1	24	8	256	23.6	1356	855
