IDEN; TOTBILL;  TIP;SEX; SMOKER; DAY;TIME;SIZE
R001;  16.99;  1.01;1;0;6;1;2
R002;  10.34;  1.66;0;0;6;1;3
R003;  21.01;  3.50;0;0;6;1;3
R004;  23.68;  3.31;0;0;6;1;2
R005;  24.59;  3.61;1;0;6;1;4
R006;  25.29;  4.71;0;0;6;1;4
R007;   8.77;  2.00;0;0;6;1;2
R008;  26.88;  3.12;0;0;6;1;4
R009;  15.04;  1.96;0;0;6;1;2
R010;  14.78;  3.23;0;0;6;1;2
R011;  10.27;  1.71;0;0;6;1;2
R012;  35.26;  5.00;1;0;6;1;4
R013;  15.42;  1.57;0;0;6;1;2
R014;  18.43;  3.00;0;0;6;1;4
R015;  14.83;  3.02;1;0;6;1;2
R016;  21.58;  3.92;0;0;6;1;2
R017;  10.33;  1.67;1;0;6;1;3
R018;  16.29;  3.71;0;0;6;1;3
R019;  16.97;  3.50;1;0;6;1;3
R020;  20.65;  3.35;0;0;5;1;3
R021;  17.92;  4.08;0;0;5;1;2
R022;  20.29;  2.75;1;0;5;1;2
R023;  15.77;  2.23;1;0;5;1;2
R024;  39.42;  7.58;0;0;5;1;4
R025;  19.82;  3.18;0;0;5;1;2
R026;  17.81;  2.34;0;0;5;1;4
R027;  13.37;  2.00;0;0;5;1;2
R028;  12.69;  2.00;0;0;5;1;2
R029;  21.70;  4.30;0;0;5;1;2
R030;  19.65;  3.00;1;0;5;1;2
R031;   9.55;  1.45;0;0;5;1;2
R032;  18.35;  2.50;0;0;5;1;4
R033;  15.06;  3.00;1;0;5;1;2
R034;  20.69;  2.45;1;0;5;1;4
R035;  17.78;  3.27;0;0;5;1;2
R036;  24.06;  3.60;0;0;5;1;3
R037;  16.31;  2.00;0;0;5;1;3
R038;  16.93;  3.07;1;0;5;1;3
R039;  18.69;  2.31;0;0;5;1;3
R040;  31.27;  5.00;0;0;5;1;3
R041;  16.04;  2.24;0;0;5;1;3
R042;  17.46;  2.54;0;0;6;1;2
R043;  13.94;  3.06;0;0;6;1;2
R044;   9.68;  1.32;0;0;6;1;2
R045;  30.40;  5.60;0;0;6;1;4
R046;  18.29;  3.00;0;0;6;1;2
