"x";"y";"equ"
"286";349156.2;6790525;"Ecoles"
"287";351800.4;6786774.3;"Ecoles"
"288";351572.6;6787384.2;"Ecoles"
"289";352937.8;6789418.9;"Ecoles"
"290";352838.8;6790300.7;"Ecoles"
"291";352136;6788929.8;"Ecoles"
"292";351953.4;6788825.3;"Ecoles"
"293";351000;6789730.3;"Ecoles"
"294";352460.3;6786210.5;"Ecoles"
"295";352771.8;6786266.9;"Ecoles"
"296";354100.5;6786914.3;"Ecoles"
"297";352461.5;6787027.7;"Ecoles"
"298";353441.3;6786456.8;"Ecoles"
"299";353681.2;6786800.6;"Ecoles"
"300";351943.6;6789788;"Ecoles"
"301";350778.9;6788783.4;"Ecoles"
"302";352342.2;6789640.9;"Ecoles"
"303";350261.6;6790754.8;"Ecoles"
"304";352862.4;6788180.6;"Ecoles"
"305";349916.2;6788456.8;"Ecoles"
"306";353882.3;6790143.9;"Ecoles"
"307";352327.6;6790263.6;"Ecoles"
"308";353450.3;6791440.3;"Ecoles"
"309";350020.7;6790193.4;"Ecoles"
"310";353383.6;6788230.2;"Ecoles"
"311";354340.2;6787926.8;"Ecoles"
"312";351725;6789950.5;"Ecoles"
"313";351036.2;6787894.5;"Ecoles"
"314";351406.6;6788921.9;"Ecoles"
"315";353205.2;6789463.6;"Ecoles"
"316";353814.5;6786297.6;"Ecoles"
"317";349719;6789140.5;"Ecoles"
"318";349677.6;6790765.8;"Ecoles"
"319";352988.8;6786541.2;"Ecoles"
"320";353358.6;6790794.1;"Ecoles"
"321";354258.1;6787056.3;"Ecoles"
"322";349265.9;6789435.2;"Ecoles"
"323";351659.9;6788341.4;"Ecoles"
"324";351870.4;6789645.9;"Ecoles"
"325";350911;6786927.8;"Ecoles"
"326";352876.7;6791691.3;"Ecoles"
"327";353001.4;6792293;"Ecoles"
"328";349852.6;6788738;"Ecoles"
"329";353720.6;6787604.4;"Ecoles"
"330";353147.4;6791237.2;"Ecoles"
"331";351647.6;6787918.5;"Ecoles"
"332";351788;6787892.9;"Ecoles"
"333";354117.6;6789725.9;"Ecoles"
"334";351486.4;6790700.6;"Ecoles"
"335";353469.9;6787306.2;"Ecoles"
"336";350494.6;6791503;"Ecoles"
"337";350620.1;6789441.2;"Ecoles"
"338";353534.5;6788764.2;"Ecoles"
"339";354640.9;6786786.3;"Ecoles"
"340";351767.8;6789259.4;"Ecoles"
"341";352704.6;6787419.4;"Ecoles"
"342";351576.1;6788746.4;"Ecoles"
"343";351014;6787314.2;"Ecoles"
"696";355473.79;6791246.39;"Pharmacies"
"697";353889.27;6786229.2;"Pharmacies"
"698";352995.97;6791972.83;"Pharmacies"
"699";352102.09;6786536.58;"Pharmacies"
"700";352361.63;6788850.44;"Pharmacies"
"701";349860.82;6790400.07;"Pharmacies"
"702";349831.58;6790789.29;"Pharmacies"
"703";353177.28;6786281.23;"Pharmacies"
"704";352368.18;6787326.87;"Pharmacies"
"705";351750;6789250;"Pharmacies"
"706";350777.26;6786509.42;"Pharmacies"
"707";351545.77;6789142.76;"Pharmacies"
"708";352340.64;6788478.11;"Pharmacies"
"709";351850;6789650;"Vêtements"
"710";351850;6789450;"Vêtements"
"711";351850;6789650;"Vêtements"
"712";351850;6789550;"Vêtements"
"713";351980.12;6788565.5;"Vêtements"
"714";351889.5;6788586.22;"Vêtements"
"715";351830.68;6788542.48;"Vêtements"
"716";351830.68;6788542.48;"Vêtements"
"717";351830.68;6788542.48;"Vêtements"
"718";351830.68;6788542.48;"Vêtements"
"719";351830.68;6788542.48;"Vêtements"
"720";351830.68;6788542.48;"Vêtements"
"721";351830.68;6788542.48;"Vêtements"
"722";351830.68;6788542.48;"Vêtements"
"723";351830.68;6788542.48;"Vêtements"
"724";351830.68;6788542.48;"Vêtements"
"725";351830.68;6788542.48;"Vêtements"
"726";351830.68;6788542.48;"Vêtements"
"727";351830.68;6788542.48;"Vêtements"
"728";353816.09;6786921.41;"Pharmacies"
"729";352055.12;6789345.35;"Vêtements"
"730";354743.74;6787069.4;"Pharmacies"
"731";352200.66;6789238.49;"Vêtements"
"732";351931.19;6789641.67;"Vêtements"
"733";351821.3;6789352.76;"Vêtements"
"734";352149.79;6789132.48;"Vêtements"
"735";352149.79;6789132.48;"Vêtements"
"736";351927.96;6789189.75;"Vêtements"
"737";352005.7;6789185.62;"Vêtements"
"738";353641.66;6789023.36;"Pharmacies"
"739";351980.05;6789215.56;"Vêtements"
"740";351893.82;6789379.65;"Vêtements"
"741";351882.35;6789390.74;"Vêtements"
"742";351894.53;6789393.63;"Vêtements"
"743";351883.4;6789411.71;"Vêtements"
"744";351991.09;6789753.35;"Vêtements"
"745";351995.73;6789728.58;"Vêtements"
"746";352069.81;6789912.54;"Vêtements"
"747";349283.49;6790415.02;"Pharmacies"
"748";351951.54;6789402.91;"Vêtements"
"749";351963.52;6789402.31;"Vêtements"
"750";352027.44;6788681.28;"Vêtements"
"751";352027.44;6788681.28;"Vêtements"
"752";352036.6;6788621;"Vêtements"
"753";352036.6;6788621;"Vêtements"
"754";351962.2;6789202.21;"Vêtements"
"755";351976.67;6789567.09;"Vêtements"
"756";351990.42;6789578.97;"Vêtements"
"757";352003.87;6789566.37;"Vêtements"
"758";350895.9;6789522.95;"Pharmacies"
"759";351971.55;6789364.77;"Vêtements"
"760";353991.69;6788020.69;"Pharmacies"
"761";351799.03;6789393.41;"Vêtements"
"762";351811.02;6789393.32;"Vêtements"
"763";351810.84;6789425.55;"Vêtements"
"764";349974.71;6790720.67;"Vêtements"
"765";353371.37;6790466.84;"Pharmacies"
"766";352193.64;6787625.09;"Vêtements"
"767";351743.96;6789430.59;"Vêtements"
"768";351796.15;6789075.4;"Vêtements"
"769";352002.16;6789643.33;"Vêtements"
"770";350129.53;6789074.77;"Pharmacies"
"771";351449.89;6788188.84;"Pharmacies"
"772";351276.87;6787930.36;"Vêtements"
"773";351185;6787830.43;"Pharmacies"
"774";351883.53;6789083.18;"Vêtements"
"775";351882.31;6789025.23;"Pharmacies"
"776";351871.54;6789083.28;"Vêtements"
"777";351880.52;6788989.77;"Vêtements"
"778";351850.73;6789564.13;"Vêtements"
"779";351870.19;6789614.93;"Vêtements"
"780";351890.68;6789220.78;"Vêtements"
"781";351890.09;6789202.8;"Vêtements"
"782";351879.87;6789257.35;"Vêtements"
"783";351875.95;6789443.5;"Vêtements"
"784";351856.78;6789432.42;"Vêtements"
"785";351861.96;6789444.12;"Vêtements"
"786";351838.11;6789433.07;"Vêtements"
"787";351838.11;6789433.07;"Vêtements"
"788";353602.31;6790928;"Pharmacies"
"789";353932.46;6787464.75;"Pharmacies"
"790";352160.54;6788936.52;"Vêtements"
"791";351543;6786102.94;"Vêtements"
"792";351660.17;6786105.24;"Vêtements"
"793";351660.17;6786105.49;"Vêtements"
"794";351543.92;6786114.93;"Vêtements"
"795";351543;6786102.94;"Vêtements"
"796";351543.92;6786114.93;"Vêtements"
"797";351543.92;6786114.93;"Vêtements"
"798";351543.92;6786114.93;"Vêtements"
"799";351543.92;6786114.93;"Vêtements"
"800";351543.92;6786114.93;"Vêtements"
"801";351543;6786102.94;"Vêtements"
"802";351892.71;6786086.6;"Pharmacies"
"803";351949.89;6788527.8;"Vêtements"
"804";351902.27;6789492.25;"Vêtements"
"805";351904.81;6789496.98;"Vêtements"
"806";351927.84;6789563.75;"Vêtements"
"807";351939.63;6789569.9;"Vêtements"
"808";351765.16;6789296.76;"Vêtements"
"809";351736.72;6789289.74;"Vêtements"
"810";351730.33;6789302.79;"Vêtements"
"811";351721.53;6789303.86;"Vêtements"
"812";352375.44;6789830.16;"Pharmacies"
"813";352040.11;6789050.68;"Vêtements"
"814";352052.09;6789050.33;"Vêtements"
"815";352052.09;6789050.33;"Vêtements"
"816";352051.18;6789029.85;"Vêtements"
"817";352037.02;6788990.49;"Vêtements"
"818";352049;6788989.65;"Vêtements"
"819";352030.01;6788888.37;"Pharmacies"
"820";347741.93;6788622.33;"Vêtements"
"821";352059.42;6789090.99;"Pharmacies"
"822";352059.42;6789090.99;"Pharmacies"
"823";351545.5;6788681.72;"Vêtements"
"824";352089.81;6789259.88;"Vêtements"
"825";351872.59;6789369.08;"Vêtements"
"826";351853.65;6789370.73;"Vêtements"
"827";352069.02;6789283.28;"Vêtements"
"828";352070;6789300.51;"Vêtements"
"829";352071.02;6789317.99;"Vêtements"
"830";351901.26;6789265.92;"Vêtements"
"831";352113.61;6789573.47;"Pharmacies"
"832";352877.66;6790123.61;"Pharmacies"
"833";349776.13;6788217.74;"Pharmacies"
"834";351956.44;6789023.63;"Vêtements"
"835";349526.61;6788673.72;"Vêtements"
"836";349536.39;6788659.4;"Vêtements"
"837";349375.95;6788546.29;"Vêtements"
"838";351917.8;6789428.67;"Vêtements"
"839";351953.26;6789446.62;"Vêtements"
"840";351953.91;6789460.6;"Vêtements"
"841";351966.12;6789464.75;"Vêtements"
"842";351967.98;6789539.43;"Vêtements"
"843";351967.91;6789548.93;"Vêtements"
"844";351834.79;6789547.02;"Vêtements"
"845";351968.55;6789588.14;"Vêtements"
"846";351968.55;6789588.14;"Vêtements"
"847";351957.32;6789602.98;"Vêtements"
"848";351957.32;6789602.98;"Vêtements"
"849";351970.08;6789616.86;"Vêtements"
"850";351973.29;6789424.72;"Vêtements"
"851";351986.07;6789436.11;"Vêtements"
"852";351998.3;6789435.51;"Vêtements"
"853";352010.54;6789434.91;"Vêtements"
"854";352010.54;6789434.91;"Vêtements"
"855";352010;6789422.92;"Vêtements"
"856";352022.78;6789434.31;"Vêtements"
"857";353383.87;6787195.67;"Pharmacies"
"858";351945.43;6789589.58;"Vêtements"
"859";351945.43;6789589.58;"Vêtements"
"860";351645.38;6789018.92;"Vêtements"
"861";351824.5;6789503.13;"Vêtements"
"862";351813.96;6789528.7;"Vêtements"
"863";353191.19;6788332.26;"Pharmacies"
"864";351664.54;6789576.14;"Vêtements"
"865";351694.21;6790541.24;"Pharmacies"
"866";352071.13;6789697.99;"Vêtements"
"867";352034.97;6789469.44;"Vêtements"
"868";351825.78;6788786.86;"Vêtements"
"869";351989.01;6789001.13;"Vêtements"
"870";352053.58;6789010.1;"Vêtements"
"871";352122.91;6789417;"Vêtements"
"872";353048.26;6787274.6;"Pharmacies"
"873";353819.11;6791977.66;"Pharmacies"
"874";351672.09;6787064.73;"Vêtements"
"1036";351821.3;6789352.76;"Vêtements"
"1054";351850;6789650;"Vêtements"
"1055";351830.68;6788542.48;"Vêtements"
"1056";351990.25;6789566.98;"Vêtements"
"1057";351555.87;6791309.23;"Vêtements"
"1058";351867.94;6788982.88;"Vêtements"
"1059";351890.09;6789202.8;"Vêtements"
"1060";351819.47;6789433.97;"Vêtements"
"1061";351543.92;6786114.93;"Vêtements"
"1062";351719.43;6789291.88;"Vêtements"
"1063";352040.11;6789050.68;"Vêtements"
"1064";352058.52;6789309.85;"Vêtements"
"1065";352062.53;6789193.15;"Vêtements"
"1066";352022.78;6789434.31;"Vêtements"
"1067";349950;6789150;"Vêtements"
"1068";351077.38;6790054.11;"Vêtements"
"1069";351950;6788550;"Vêtements"
"1099";350538.81;6791346.63;"Pharmacies"
"1100";351179.56;6790015.05;"Pharmacies"
"1101";351494.6;6789504.07;"Pharmacies"
"1102";351293.22;6789436.98;"Pharmacies"
"1103";353540.16;6790607.12;"Pharmacies"
"1104";351673.7;6787073.96;"Pharmacies"
"1109";352908.9;6787943.9;"Ecoles"
"1110";351891.16;6788872.59;"Vêtements"
"1111";351891.16;6788872.59;"Vêtements"
"1112";351543.92;6786114.93;"Vêtements"
"1131";351891.16;6788872.59;"Vêtements"
"1132";351797.74;6788902.65;"Vêtements"
"1133";348823.87;6788670.21;"Vêtements"
"1134";351951;6789237.53;"Vêtements"
"1135";351951.15;6789256.51;"Vêtements"
"1136";351871.16;6789067.8;"Vêtements"
"1137";351917.8;6789428.67;"Vêtements"
"1138";351956.55;6789588.49;"Vêtements"
"1139";351881.11;6789896.65;"Vêtements"
"1140";352032.78;6789443.22;"Vêtements"
"1141";352156.29;6789426.47;"Vêtements"
"1153";351968.55;6789588.14;"Vêtements"
"1165";352858.2;6787037.82;"Pharmacies"
"1166";351808.6;6789545.48;"Pharmacies"
"1167";349535.33;6788659.41;"Pharmacies"
"1181";355499.63;6791255.17;"Vêtements"
"1182";351830.68;6788542.48;"Vêtements"
"1183";351830.68;6788542.48;"Vêtements"
"1184";351830.68;6788542.48;"Vêtements"
"1185";352022.25;6789641.92;"Vêtements"
"1186";351776.39;6786095.29;"Vêtements"
"1187";351543;6786102.94;"Vêtements"
"1188";351543.92;6786114.93;"Vêtements"
"1230";355552.87;6791216.51;"Vêtements"
"1231";351891.16;6788872.59;"Vêtements"
"1232";351797.74;6788902.65;"Vêtements"
"1233";350937.95;6789113.64;"Vêtements"
"1234";351889.5;6788586.22;"Vêtements"
"1235";351993.06;6788582.13;"Vêtements"
"1236";351830.68;6788542.48;"Vêtements"
"1237";352458.55;6790268.18;"Vêtements"
"1238";352951.39;6789306.81;"Vêtements"
"1239";352022.25;6789641.92;"Vêtements"
"1240";351660.17;6786105.24;"Vêtements"
"1241";351853.65;6789370.73;"Vêtements"
"1242";351957.23;6789063.35;"Vêtements"
"1243";351958.09;6789617.46;"Vêtements"
"1244";351986.07;6789436.11;"Vêtements"
"1245";351998.3;6789435.51;"Vêtements"
"1246";351933.34;6789584.69;"Vêtements"
"1247";351923.07;6789611.25;"Vêtements"
"1248";351634.68;6789031.5;"Vêtements"
"1249";352134.32;6789356.45;"Vêtements"
"1250";352199.19;6789079.3;"Vêtements"
"1251";352172.55;6789425.09;"Vêtements"
"1252";354907.79;6791067.63;"Vêtements"
"1277";351830.68;6788542.48;"Pharmacies"
"1278";353750;6788050;"Pharmacies"
"1279";353562.86;6789557.9;"Pharmacies"
"1291";351830.68;6788542.48;"Vêtements"
"1292";351580.07;6789350.23;"Vêtements"
"1293";351543;6786102.94;"Vêtements"
"1294";351543.92;6786114.93;"Vêtements"
"1295";349551.49;6788680.01;"Vêtements"
"1296";349535.33;6788659.41;"Vêtements"
"1317";351891.16;6788872.59;"Vêtements"
"1318";353597.26;6786312.03;"Vêtements"
"1319";351840.83;6788585.12;"Vêtements"
"1320";351980.12;6788565.5;"Vêtements"
"1321";351830.68;6788542.48;"Vêtements"
"1322";351963.52;6789402.31;"Vêtements"
"1323";352027.44;6788681.28;"Vêtements"
"1324";352036.6;6788621;"Vêtements"
"1325";351798.85;6789425.64;"Vêtements"
"1326";351728.52;6789429.47;"Vêtements"
"1327";352037.92;6789625.3;"Vêtements"
"1328";351811.33;6789302.13;"Vêtements"
"1329";351890.09;6789202.8;"Vêtements"
"1330";352038.8;6786441.41;"Vêtements"
"1331";352040.56;6789060.92;"Vêtements"
"1332";352064.29;6789078.71;"Vêtements"
"1333";348621.26;6788633.14;"Vêtements"
"1334";349551.49;6788680.01;"Vêtements"
"1335";349525.59;6788674.98;"Vêtements"
"1336";351943.13;6789426.46;"Vêtements"
"1337";351930.47;6789427.57;"Vêtements"
"1338";351858.44;6789514.1;"Vêtements"
"1339";351842.48;6789556.7;"Vêtements"
"1340";351968.55;6789588.14;"Vêtements"
"1341";351941.72;6789593.11;"Vêtements"
"1342";351890.81;6789006.43;"Vêtements"
"1367";353094.05;6790922.55;"Pharmacies"
"1375";351830.68;6788542.48;"Vêtements"
"1376";351830.68;6788542.48;"Vêtements"
"1377";352027.44;6788681.28;"Vêtements"
"1400";351830.68;6788542.48;"Vêtements"
"1401";351881.84;6789380.25;"Vêtements"
"1402";351999.79;6789740.54;"Vêtements"
"1403";352058.23;6789564.43;"Vêtements"
"1404";351799.03;6789393.41;"Vêtements"
"1405";352014.4;6789276.23;"Vêtements"
"1406";351993.13;6789264.92;"Vêtements"
"1407";351880.57;6789302.06;"Vêtements"
"1408";351880.94;6789347.03;"Vêtements"
"1409";351648.54;6789422.87;"Vêtements"
"1410";351811.25;6789322.36;"Vêtements"
"1411";351890.09;6789202.8;"Vêtements"
"1412";351871.93;6789934.45;"Vêtements"
"1413";351901.04;6789517.75;"Vêtements"
"1414";351702.15;6789293.77;"Vêtements"
"1415";352072;6789335.22;"Vêtements"
"1416";351901.26;6789265.92;"Vêtements"
"1417";355207.25;6787021.15;"Vêtements"
"1418";351929.59;6789588.21;"Vêtements"
"1419";352156.29;6789426.47;"Vêtements"
"1420";353827.38;6786653.92;"Vêtements"
"1421";351050;6790250;"Vêtements"
"1452";352716.76;6787524.14;"Pharmacies"
"1453";352763.6;6788721.24;"Pharmacies"
"1461";351388.75;6787496.65;"Médecins"
"1462";351820;6789445.96;"Médecins"
"1463";351388.75;6787496.65;"Médecins"
"1464";352811.25;6786387.15;"Médecins"
"1477";351388.75;6787496.65;"Médecins"
"1480";351776.39;6786095.29;"Médecins"
"1485";351956.44;6789023.63;"Médecins"
"1487";351388.75;6787496.65;"Médecins"
"1493";351798.29;6788748.36;"Médecins"
"1497";353025.78;6792047.84;"Médecins"
"1499";350930.87;6789645.83;"Médecins"
"1507";353543.38;6789777.4;"Médecins"
"1509";351659.82;6789533.96;"Médecins"
"1515";351820;6789445.96;"Médecins"
"1516";351819.47;6789433.97;"Médecins"
"1520";352742.4;6788521.36;"Médecins"
"1522";350206.67;6788478.79;"Médecins"
"1523";352152.86;6787844.46;"Médecins"
"1528";352150;6786650;"Médecins"
"1535";352516.24;6788634.32;"Médecins"
"1546";350050.49;6790526.93;"Médecins"
"1550";353622.74;6787188.72;"Médecins"
"1554";352329.05;6786534.23;"Médecins"
"1555";351071.41;6789103.3;"Médecins"
"1556";352238.49;6787871.31;"Médecins"
"1563";351584.61;6786857.34;"Médecins"
"1564";351528.31;6789514.79;"Médecins"
"1566";349487.51;6788283.05;"Médecins"
"1567";351830.19;6788672.9;"Médecins"
"1572";353543.38;6789777.4;"Médecins"
