"x";"y";"pop"
"1";346202.11045;6790631.28;20
"2";346203.39045;6792843.34;5
"3";346203.54045;6790963.48;4
"4";346204.75045;6790402.78;6
"5";346204.98045;6790312.31;26
"6";346205.26045;6790529.38;3
"7";346205.49045;6790196.71;2
"8";346205.94045;6790132.77;1
"9";346206.68045;6790884.42;4
"10";346209.78045;6790510.95;1
"11";346210.82045;6790772.88;4
"12";346212.54045;6790660.02;3
"13";346213.78045;6790227.12;3
"14";346216.48045;6790855.42;5
"15";346217.01045;6790562.52;14
"16";346218.33046;6787433.82;2
"17";346219.89045;6790955.38;2
"18";346221.73045;6790799.18;5
"19";346222.85045;6790284.83;2
"20";346223.15045;6790386.96;2
"21";346224.86045;6790715.24;1
"22";346225.80045;6790274.54;2
"23";346226.43045;6790246.26;5
"24";346226.53045;6793298.36;3
"25";346226.61045;6790157.5;2
"26";346227.50045;6790665.3;1
"27";346227.70045;6793915.77;2
"28";346228.46045;6790222.95;2
"29";346230.70045;6790319.13;3
"30";346231.04045;6790732.89;5
"31";346231.98045;6790859.82;6
"32";346233.74045;6790123.12;2
"33";346235.18045;6790844.15;2
"34";346236.15045;6790299.41;2
"35";346237.64045;6790949.39;4
"36";346238.20045;6790351.29;3
"37";346238.25045;6790774.77;1
"38";346239.01045;6790217.62;6
"39";346244.68045;6793838.34;1
"40";346244.69045;6790524.7;4
"41";346244.79045;6790168.11;4
"42";346246.77045;6790235.72;2
"43";346250.39045;6790813.19;2
"44";346251.31046;6787881.44;1
"45";346252.02045;6790644.63;1
"46";346253.31045;6790212.8;2
"47";346253.63045;6790250.91;1
"48";346254.71046;6787760.93;1
"49";346258.84045;6790094.3;5
"50";346260.62045;6790288.6;2
"51";346262.08045;6790826.96;4
"52";346262.86045;6793789.7;4
"53";346263.24045;6790716.66;2
"54";346264.74045;6790586.9;6
"55";346266.37045;6790559.82;2
"56";346266.75046;6787867.79;6
"57";346268.84045;6790731.76;2
"58";346269.22045;6790527.14;3
"59";346270.34045;6790639.94;2
"60";346270.45045;6790213.73;3
"61";346270.64045;6790603.44;4
"62";346270.73045;6790538.31;2
"63";346272.29045;6793924.03;4
"64";346275.07045;6790845.85;4
"65";346275.09045;6790901.53;3
"66";346276.30045;6790828.86;4
"67";346276.48045;6793747.65;2
"68";346277.13045;6790917.09;3
"69";346280.06045;6790713.51;1
"70";346280.11045;6793859.48;4
"71";346280.77045;6790312.59;1
"72";346281.10045;6790148.88;2
"73";346281.47045;6790724;2
"74";346281.49045;6790530.71;2
"75";346282.73045;6790742.79;5
"76";346284.40045;6790867.13;2
"77";346285.43045;6790243.9;1
"78";346286.49045;6790905.03;2
"79";346286.51045;6793712.12;3
"80";346290.61045;6793888.74;5
"81";346294.25045;6789074.64;4
"82";346294.40045;6793952;3.5
"83";346295.18045;6793841.76;3
"84";346295.54045;6790481.01;2
"85";346295.71045;6790201.84;4
"86";346296.74045;6790316.93;3
"87";346297.65045;6790774.42;3
"88";346298.50045;6790884.82;1
"89";346298.76045;6790265.09;3
"90";346303.73045;6790257.04;1
"91";346305.05045;6790486.55;4
